state,covered,near_death,true_value_pi_beta,n_actions_visited,total_samples,min_samples_per_visited_action,mean_samples_per_visited_action,max_samples_per_visited_action
746,True,False,0.6854277451020211,3,4556,8,1518.6666666666667,4261
747,True,False,0.4587127483882222,4,4331,8,1082.75,3035
748,True,False,-0.3838511921821352,3,10686,1,3562.0,7425
749,True,False,-0.3295442681011119,4,4305,1,1076.25,3162
750,False,True,-0.9999993276642342,0,0,0,0.0,0
751,False,True,-0.9999993145134116,0,0,0,0.0,0
752,False,True,-0.9999982750186097,0,0,0,0.0,0
753,False,True,-0.9999981982249531,0,0,0,0.0,0
754,False,True,-0.9999980607115828,0,0,0,0.0,0
755,False,True,-0.9999974079600051,0,0,0,0.0,0
756,False,True,-0.9999957135052215,0,0,0,0.0,0
757,False,True,-0.9999948518262481,0,0,0,0.0,0
758,False,True,-0.9999989232985321,0,0,0,0.0,0
759,False,True,-0.998555438688796,0,0,0,0.0,0
760,False,True,-0.9985034354146821,0,0,0,0.0,0
761,False,True,-0.9987861889667524,0,0,0,0.0,0
762,False,True,-0.9988118976839617,0,0,0,0.0,0
763,False,True,-0.9987974115846637,0,0,0,0.0,0
764,False,True,-0.9987850183752457,0,0,0,0.0,0
765,False,True,-0.9084779810668514,0,0,0,0.0,0
766,False,True,-0.9132710049168731,0,0,0,0.0,0
767,False,True,-0.9177978071157377,0,0,0,0.0,0
768,False,True,-0.9161453282755667,0,0,0,0.0,0
769,False,True,-0.9144965040709716,0,0,0,0.0,0
770,False,True,-0.9128626663172752,0,0,0,0.0,0
771,False,True,-0.9103489346033619,0,0,0,0.0,0
772,False,False,0.05421025270409217,0,0,0,0.0,0
773,False,False,0.07271763422237441,0,0,0,0.0,0
774,False,True,-0.9999460354987204,0,0,0,0.0,0
775,False,True,-0.9998293822455334,0,0,0,0.0,0
776,True,False,0.729353633217853,4,5476,4,1369.0,3904
777,True,False,-0.021041077502363902,4,1448,1,362.0,792
778,True,False,-0.3983188955320804,4,11849,6,2962.25,7842
779,True,False,0.8539624492872334,1,5,5,5.0,5
780,False,True,-0.9999993309621058,0,0,0,0.0,0
