state,row,col,best_action,best_q,n_near_optimal,on_shortest_path
717,23,27,1,0.6082853452939955,1,True
718,23,28,2,0.5682500421764051,1,False
719,23,29,2,0.5286610155837019,1,False
720,24,0,1,-0.4834379004742124,1,False
721,24,1,1,-0.5106333015142062,2,False
722,24,2,2,-0.5382538143730412,1,False
723,24,3,0,-0.7418316466448559,1,False
724,24,4,3,-0.7418171829074753,2,False
725,24,5,3,-0.7177754904209557,1,False
726,24,6,3,-0.6922037983818273,1,False
727,24,7,0,-0.6663115118471287,1,False
728,24,8,1,-0.23947665628988657,1,False
729,24,9,1,-0.14631105688722373,1,False
730,24,10,3,-0.04919972806965235,1,True
731,24,11,1,-0.01609149856028229,2,True
732,24,12,3,0.01637349585288978,1,True
733,24,13,1,0.05109431198647033,1,True
734,24,14,3,0.08640242160526658,1,False
735,24,15,1,0.12105345855482495,1,False
736,24,16,3,0.16051597665972311,2,False
737,24,17,3,0.19419190729591698,1,False
738,24,18,3,0.2309652185493473,2,False
739,24,19,1,0.26631080468298235,1,False
740,24,20,3,0.3785196054461333,1,False
741,24,21,1,0.41642693638638023,2,False
742,24,22,3,0.4517802355537414,2,False
743,24,23,0,0.4884823749750176,1,False
744,24,24,3,0.6104821437381998,1,False
745,24,25,3,0.6499086481743254,1,True
746,24,26,1,0.6919262784304093,1,True
747,24,27,2,0.6498519326561111,1,True
748,24,28,1,0.4538460893915787,2,False
749,24,29,0,0.4895886541117482,1,False
750,25,0,1,-0.45522200402758645,1,False
751,25,1,2,-0.4834379004742124,1,False
752,25,2,3,-0.39165549570792707,2,False
753,25,3,3,-0.36383866775672996,1,False
754,25,4,3,-0.33429995106087973,1,False
755,25,5,3,-0.30439213372250845,1,False
756,25,6,1,-0.27414774699916733,1,False
757,25,7,2,-0.30359254584335676,1,False
758,25,8,1,-0.2085038976207536,1,False
759,25,9,3,-0.11514874246611778,1,False
760,25,10,0,-0.08196168580307266,1,False
761,25,11,3,0.016510199592082525,1,True
762,25,12,3,0.050331650889043324,1,True
763,25,13,3,0.0853506956273885,1,True
764,25,14,1,0.12091506779081808,1,True
765,25,15,3,0.1560719109163317,1,True
766,25,16,1,0.19148269530629689,1,True
767,25,17,3,0.23011939612285054,1,False
768,25,18,3,0.26539233520145117,1,False
