state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,n_pi_d_star_action,n_best_config_action,pair_min_samples,pi_d_star_action_cross,pi_d_star_V_cross,argmax_disagree_cross,rank_correlation_cross,value_gap_cross,is_disagreement_cross,severity_raw_cross,statistically_significant_cross,is_disagreement_strict,references_agree_on_action,severity_raw_strict,severity_strict
71,2,11,True,3,-0.8870887091279259,1,2,1,0.19999999999999998,-2.598060975426111,2.037621039635e-16,1.7109722662981848,1,1.7109722662981848,0.5674425782161303,1,-2.994117157276494,-2.424781084060669,0.5693360732158252,10,42,10,1,-1.1274303440090039,1,0.39999999999999997,1.470630631417107,1,1.470630631417107,1,1,1,1.470630631417107,0.49284019170210036
72,2,12,False,0,-50.0,0,0,0,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9972130056741277,-2.2947568893432617,0.702456116330866,0,0,0,0,-50.0,0,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
73,2,13,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9972524651041077,-2.037571907043457,0.9596805580606507,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
74,2,14,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997373369980088,-2.029111862182617,0.9682615077974708,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
75,2,15,False,0,-50.0,0,0,0,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997564918818657,-1.5622740983963013,1.4352908204223556,0,0,0,0,-50.0,0,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
76,2,16,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997657390017807,-1.6669119596481323,1.3307454303696749,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
77,2,17,True,3,-1.1772247486647787,1,1,0,0.7999999999999999,-2.201341902919152,0.12942303379600037,1.0241171542543734,0,0.0,0.0,0,-1.429506664488465,-1.3412060737609863,0.08830059072747876,180,180,180,1,-1.209840045672321,0,0.7999999999999999,0.991501857246831,0,0.0,0,0,1,0.0,0.0
78,2,18,True,1,-1.1966547306424469,2,2,0,0.7745966692414834,-2.395363682903787,0.09907653158207191,1.19870895226134,0,0.0,0.0,0,-1.449328683976875,-1.2063881158828735,0.24294056809400155,16,16,16,2,-2.4991173296416918,0,0.7745966692414834,-0.10375364673790477,0,0.0,0,0,1,0.0,0.0
79,2,19,False,0,-50.0,0,2,1,,-2.207610536897815,0.12688128042394295,-47.79238946310218,0,0.0,0.0,0,-1.4878776274301833,-1.472656011581421,0.01522161584876236,0,0,0,0,-50.0,1,,-47.79238946310218,0,0.0,0,0,1,0.0,0.0
80,2,20,False,0,-50.0,0,1,1,,-2.511573300806152,0.06190554394572468,-47.48842669919385,0,0.0,0.0,0,-1.6458164013566432,-1.6402919292449951,0.005524472111648082,0,0,0,0,-50.0,1,,-47.48842669919385,0,0.0,0,0,1,0.0,0.0
