state,row,col,covered,true_value_pi_beta,near_death,critic_pred_pi_beta,critic_abs_error,pi_d_star_action,best_config_action,argmax_agree,rank_correlation
103,3,13,True,-0.4086464649065113,False,-0.3933848440647125,0.015261620841798773,3,3,1,0.9486832980505139
104,3,14,True,-0.37488739057236947,False,-0.36743587255477905,0.007451518017590419,3,3,1,1.0
105,3,15,True,-0.36706211474918726,False,-0.3340958058834076,0.03296630886577967,3,3,1,1.0
106,3,16,True,-0.3598788045077449,False,-0.31962698698043823,0.040251817527306666,1,1,1,1.0
107,3,17,True,-0.537315612441952,False,-0.20341944694519043,0.3338961654967616,0,0,1,0.7745966692414834
108,3,18,False,-0.7276221283463762,False,-0.16701334714889526,0.5606087811974809,0,1,0,
109,3,19,False,-0.9920817097331801,True,-0.19619429111480713,0.795887418618373,0,3,0,
110,3,20,True,-0.9999876016677345,True,-0.17748475074768066,0.8225028509200538,0,0,1,0.39999999999999997
111,3,21,False,-1.0000004934644793,True,-0.24973449110984802,0.7502660023546313,0,1,0,
112,3,22,False,-1.0000006443310068,True,-0.23628592491149902,0.7637147194195077,0,3,0,
113,3,23,False,-1.000000606978083,True,-0.2497462034225464,0.7502544035555365,0,1,0,
114,3,24,False,-1.0000002145512328,True,0.03398125618696213,1.033981470738195,0,3,0,
115,3,25,False,-1.000000301943832,True,0.2024167776107788,1.2024170795546107,0,3,0,
116,3,26,False,-1.000000278653503,True,0.2566985785961151,1.256698857249618,0,3,0,
117,3,27,False,-1.0000001805257863,True,0.07146162539720535,1.0714618059229917,0,0,1,
118,3,28,False,-1.0000005212969496,True,0.2678045332431793,1.267805054540129,0,3,0,
119,3,29,False,-1.0000005652283102,True,0.2865673005580902,1.2865678657864004,0,0,1,
120,4,0,False,-0.9999998588843948,True,-0.8251605033874512,0.17483935549694363,0,0,1,
121,4,1,False,-0.9999998473969106,True,-0.835559070110321,0.16444077728658957,0,3,0,
122,4,2,False,-0.9999998596421147,True,-0.8382572531700134,0.16174260647210126,0,2,0,
123,4,3,True,-0.7540346191209741,False,-0.7362136840820312,0.017820935038942887,0,0,1,0.316227766016838
124,4,4,True,-0.9678732519267323,True,-0.6506581902503967,0.3172150616763356,1,0,0,-0.10540925533894598
125,4,5,True,-0.9782934136497581,True,-0.7434722781181335,0.23482113553162454,2,2,1,0.316227766016838
126,4,6,True,-0.6242874043841083,False,-0.5648267865180969,0.05946061786601142,3,3,1,0.9486832980505139
127,4,7,True,-0.5076747027140286,False,-0.528968870639801,0.021294167925772434,3,3,1,0.7999999999999999
128,4,8,True,-0.4989137488747882,False,-0.5260426998138428,0.027128950939054597,0,0,1,0.7999999999999999
129,4,9,True,-0.9997106327914795,True,-0.5375686287879944,0.46214200400348515,1,3,0,0.7378647873726218
130,4,10,True,-0.9997279038406024,True,-0.4301338493824005,0.5695940544582019,3,3,1,0.7745966692414834
131,4,11,True,-0.9997254103175831,True,-0.5342175364494324,0.46550787386815073,1,1,1,0.7745966692414834
132,4,12,True,-0.42861763999281066,False,-0.4391799867153168,0.01056234672250611,3,3,1,0.632455532033676
133,4,13,True,-0.4221664105763174,False,-0.45205405354499817,0.029887642968680794,0,0,1,0.7999999999999999
134,4,14,True,-0.2783178612016014,False,-0.47278904914855957,0.19447118794695817,1,1,1,0.9486832980505139
