state,row,col,covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error
101,3,11,True,0.02686450903492986,3,3,0,0.316227766016838,-0.05622712570463692,0.034567374693081916,0.08309163473956678,0,0.0,0.0,0,-0.45408067371363586,-0.44705313444137573,0.00702753927226013
102,3,12,True,0.038761882973876546,1,1,0,1.0,-0.027251297681534323,0.028881588066066433,0.06601318065541087,0,0.0,0.0,0,-0.43603374242824994,-0.48051682114601135,0.044483078717761415
103,3,13,True,0.07405437790312966,3,3,0,0.9486832980505139,0.025402096514671565,0.021632997541008003,0.04865228138845809,0,0.0,0.0,0,-0.4086464649065113,-0.3933848738670349,0.015261591039476385
104,3,14,True,0.0860792923671301,3,3,0,1.0,0.04016927009235841,0.021888888085368857,0.04591002227477169,0,0.0,0.0,0,-0.37488739057236947,-0.36743587255477905,0.007451518017590419
105,3,15,True,0.0984215744372217,3,3,0,1.0,0.029486851827242505,0.030684733371126354,0.0689347226099792,0,0.0,0.0,0,-0.36706211474918726,-0.33409571647644043,0.03296639827274683
106,3,16,True,0.11073333436100885,1,1,0,1.0,0.04448825293554336,0.03098500072495782,0.0662450814254655,0,0.0,0.0,0,-0.3598788045077449,-0.31962695717811584,0.040251847329629054
107,3,17,True,-0.9999989913057307,0,0,0,0.7745966692414834,-0.5608178724513252,0.053043821346622756,-0.4391811188544055,0,0.0,0.0,0,-0.537315612441952,-0.20341947674751282,0.3338961356944392
108,3,18,False,-50.0,0,1,1,,0.08295107720687132,0.030412381094686438,-50.08295107720687,0,0.0,0.0,0,-0.7276221283463762,-0.16701337695121765,0.5606087513951585
109,3,19,False,-50.0,0,3,1,,-0.41581601506752264,0.0591988657046171,-49.58418398493248,0,0.0,0.0,0,-0.9920817097331801,-0.1961943507194519,0.7958873590137282
110,3,20,True,-0.9999989913057302,3,0,1,-0.19999999999999998,-0.8660203251420379,0.0,-0.13397866616369236,0,0.0,0.0,0,-0.9999876016677345,-0.17748484015464783,0.8225027615130867
111,3,21,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000004934644793,-0.24973443150520325,0.750266061959276
112,3,22,False,-50.0,0,3,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000006443310068,-0.2362859547138214,0.7637146896171854
113,3,23,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.000000606978083,-0.249746173620224,0.7502544333578589
114,3,24,False,-50.0,0,3,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000002145512328,0.0339810848236084,1.0339812993748412
115,3,25,False,-50.0,0,3,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.000000301943832,0.2024167776107788,1.2024170795546107
116,3,26,False,-50.0,0,3,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.000000278653503,0.2566985785961151,1.256698857249618
117,3,27,False,-50.0,0,0,0,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000001805257863,0.07146159559488297,1.0714617761206693
118,3,28,False,-50.0,0,3,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000005212969496,0.26780450344085693,1.2678050247378065
119,3,29,False,-50.0,0,0,0,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000005652283102,0.2865673005580902,1.2865678657864004
120,4,0,False,-50.0,0,0,0,,-1.0,3.172065784643304e-18,-49.0,0,0.0,0.0,0,-0.9999998588843948,-0.8251606225967407,0.17483923628765408
121,4,1,False,-50.0,0,3,1,,-0.8767386991306748,0.005192539233820164,-49.12326130086932,0,0.0,0.0,0,-0.9999998473969106,-0.8355591297149658,0.1644407176819448
122,4,2,False,-50.0,0,2,1,,-0.8767386991306748,0.005192539233820164,-49.12326130086932,0,0.0,0.0,0,-0.9999998596421147,-0.8382572531700134,0.16174260647210126
123,4,3,True,-0.10024314828715454,0,0,0,0.39999999999999997,-0.18214170570695473,0.03349169977327592,0.08189855741980019,0,0.0,0.0,0,-0.7540346191209741,-0.7362136840820312,0.017820935038942887
124,4,4,True,-0.36023926990335997,1,0,1,-0.10540925533894598,-0.1607322309185485,0.029448909423172735,-0.19950703898481148,0,0.0,0.0,0,-0.9678732519267323,-0.6506583094596863,0.31721494246704607
125,4,5,True,-0.36742453987742885,2,2,0,0.39999999999999997,-0.16492338685614488,0.029055021004572006,-0.20250115302128396,0,0.0,0.0,0,-0.9782934136497581,-0.7434723973274231,0.23482101632233499
126,4,6,True,-0.05102217226607234,3,3,0,0.9486832980505139,-0.09009475504116185,0.023159520850748558,0.03907258277508951,0,0.0,0.0,0,-0.6242874043841083,-0.5648267865180969,0.05946061786601142
127,4,7,True,-0.029694169992425877,3,3,0,0.7999999999999999,-0.06579668479059228,0.01725277326307713,0.0361025147981664,0,0.0,0.0,0,-0.5076747027140286,-0.5289687514305115,0.021294048716482883
128,4,8,True,-0.018616349719820943,0,0,0,0.7999999999999999,-0.054439271208911004,0.01730401224403045,0.03582292148909006,0,0.0,0.0,0,-0.4989137488747882,-0.5260427594184875,0.027129010543699372
129,4,9,True,-0.524656697102266,1,3,1,0.7378647873726218,-0.8660203251420379,0.0,0.3413636280397718,1,0.3413636280397718,0.35834225860687813,1,-0.9997106327914795,-0.5375686883926392,0.4621419443988404
130,4,10,True,-0.5383695757127787,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,0.3276507494292592,0,0.0,0.0,0,-0.9997279038406024,-0.4301338791847229,0.5695940246558795
131,4,11,True,-0.53363766240256,1,1,0,0.7745966692414834,-0.8660203251420379,0.0,0.3323826627394778,0,0.0,0.0,0,-0.9997254103175831,-0.5342176556587219,0.4655077546588612
132,4,12,True,0.05034807521592149,3,3,0,0.39999999999999997,-0.016375425426703633,0.02921738819846927,0.06672350064262512,0,0.0,0.0,0,-0.42861763999281066,-0.43918001651763916,0.010562376524828498
133,4,13,True,0.062142085856445574,0,0,0,0.7999999999999999,0.03557563993740218,0.005552517089361129,0.02656644591904339,0,0.0,0.0,0,-0.4221664105763174,-0.45205414295196533,0.029887732375647957
