state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,total_samples,log_coverage,p_beta_star,p_theta_star,delta_p_star,prior_error,C
251,8,11,True,2,-0.631634934059781,3,3,0,0.948683298050514,-0.8660203251420378,1.2490984923352586e-17,0.2343853910822567,0,0.0,0.0,0,-0.999576290267418,-0.5873415470123291,0.4122347432550888,1851,7.524021415206125,0.3447215259075165,0.4517342448234558,0.10701271891593933,0.6552784740924835,0.16330876588635806
252,8,12,True,3,-0.6273765413934959,1,1,0,0.7999999999999999,-0.8660203251420378,1.2490984923352586e-17,0.2386437837485419,0,0.0,0.0,0,-0.9997186039457734,-0.7264924645423889,0.2732261394033844,684,6.529418838262226,0.6613362431526184,0.8341000080108643,0.17276376485824585,0.3386637568473816,0.5101336100045144
253,8,13,True,3,-0.6033074096207188,0,0,0,0.7999999999999999,-0.8660203251420378,1.2490984923352586e-17,0.2627129155213189,0,0.0,0.0,0,-0.9997990987824898,-0.5863417983055115,0.4134573004769784,927,6.833031732786201,0.9423524141311646,0.9960464835166931,0.053694069385528564,0.05764758586883545,0.9314192186243107
255,8,15,True,3,-0.5940639673813772,0,0,0,0.3999999999999999,-0.8660203251420378,1.2490984923352586e-17,0.2719563577606605,0,0.0,0.0,0,-0.9997914045244916,-0.490953654050827,0.5088377504736645,377,5.934894195619588,0.9500574469566345,0.9800344705581665,0.029977023601531982,0.04994255304336548,0.6002300998810116
256,8,16,True,3,-0.5800929857181781,1,0,1,-0.6000000000000001,-0.8660203251420378,1.2490984923352586e-17,0.2859273394238596,1,0.2859273394238596,0.3284992231613329,1,-0.9997848406272288,-0.4146739542484283,0.5851108863788004,22303,10.012521313560251,0.04651963338255882,0.030053570866584778,-0.016466062515974045,0.9534803666174412,-0.017269430071632105
259,8,19,True,1,-1.0263542969622703,3,3,0,0.7745966692414834,0.2246484983323454,0.0350687898700779,-1.251002795294616,0,0.0,0.0,0,-0.2906707116511621,-0.1334402859210968,0.1572304257300653,7,2.0794415416798357,0.9809302091598511,0.9833971858024597,0.0024669766426086426,0.019069790840148926,
260,8,20,True,2,0.296969959855159,1,1,0,0.948683298050514,0.2276233281682095,0.0365465822244885,0.0693466316869494,0,0.0,0.0,0,-0.2823585739078947,-0.1617275178432464,0.1206310560646483,207,5.337538079701318,0.9899799823760986,0.9797337651252747,-0.010246217250823975,0.010020017623901367,
261,8,21,True,2,0.3589849476053885,3,3,0,0.632455532033676,0.3032089570135142,0.0238754997993021,0.0557759905918743,0,0.0,0.0,0,-0.1601898439874796,-0.107883833348751,0.0523060106387285,107,4.68213122712422,0.5820580720901489,0.5365716814994812,-0.045486390590667725,0.4179419279098511,-0.10883423641688089
262,8,22,True,3,0.3737193856006849,1,1,0,0.3999999999999999,0.2876587944000254,0.0326985452369276,0.0860605912006595,0,0.0,0.0,0,-0.0647224219723912,-0.0778630897402763,0.013140667767885,3277,8.094988759303774,0.9947176575660706,0.9981648325920105,0.0034471750259399414,0.005282342433929443,
263,8,23,True,2,0.3906984808388391,3,3,0,0.948683298050514,0.3339659885283264,0.0233132272394224,0.0567324923105127,0,0.0,0.0,0,-0.0448322099406595,0.0282774195075035,0.0731096294481631,91,4.5217885770490405,0.7938420176506042,0.8338189721107483,0.03997695446014404,0.20615798234939575,0.19391417205660877
264,8,24,True,1,0.4058710994292876,1,1,0,0.7745966692414834,0.3277909310154746,0.0289196461471232,0.0780801684138129,0,0.0,0.0,0,-0.0343650163451419,0.0435069426894187,0.0778719590345607,129,4.867534450455582,0.9975528120994568,0.9978805780410767,0.00032776594161987305,0.002447187900543213,
276,9,6,True,2,-1.9388189302918284,3,3,0,0.948683298050514,-0.582350348528722,0.0282228861473168,-1.3564685817631064,0,0.0,0.0,0,-0.9997496943472176,-0.9565609097480774,0.0431887845991402,11,2.4849066497880004,0.7944794297218323,0.9917144179344177,0.19723498821258545,0.20552057027816772,0.9596849013489602
277,9,7,True,3,-0.6165636664160434,0,0,0,1.0,-0.5901304791574883,0.0271974545585829,-0.0264331872585551,0,0.0,0.0,0,-0.999767308316807,-0.8290092349052429,0.1707580734115641,373,5.924255797414532,0.9983761310577393,0.9998642206192017,0.0014880895614624023,0.0016238689422607422,
