state,row,col,covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,total_samples,log_coverage,goal_distance,start_distance,hazard_distance,local_connectivity
127,4,7,True,-0.0296941699924258,3,3,0,0.7999999999999999,0.9223643991626173,0.0546194290293436,-0.9520585691550432,0,0.0,-0.5076747027140286,-0.5289687514305115,0.0212940487164828,3572,8.181160858023409,53,13,21,2
128,4,8,True,-0.0186163497198209,0,0,0,0.7999999999999999,0.9251182651585652,0.051869756671592,-0.943734614878386,0,0.0,-0.4989137488747882,-0.5260427594184875,0.0271290105436993,6603,8.795430805040018,54,14,22,2
129,4,9,True,-0.524656697102266,1,3,1,0.7378647873726218,-0.8660203251420379,0.0,0.3413636280397718,1,0.3413636280397718,-0.9997106327914796,-0.5375686883926392,0.4621419443988404,15,2.772588722239781,49,17,17,2
130,4,10,True,-0.5383695757127787,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,0.3276507494292592,0,0.0,-0.9997279038406024,-0.4301338791847229,0.5695940246558795,7,2.0794415416798357,50,18,18,2
131,4,11,True,-0.53363766240256,1,1,0,0.7745966692414834,-0.8660203251420379,0.0,0.3323826627394778,0,0.0,-0.9997254103175832,-0.5342176556587219,0.4655077546588612,4,1.6094379124341003,51,19,19,2
132,4,12,True,0.0503480752159214,3,3,0,0.3999999999999999,0.928548189878707,0.0484457213038787,-0.8782001146627856,0,0.0,-0.4286176399928106,-0.4391800165176391,0.0105623765248284,8206,9.012742727629712,56,18,28,2
133,4,13,True,0.0621420858564455,0,0,0,0.7999999999999999,0.92804330398992,0.0489496885194691,-0.8659012181334743,0,0.0,-0.4221664105763174,-0.4520541429519653,0.0298877323756479,12940,9.46815584482167,55,19,29,2
134,4,14,True,0.1486878185339229,1,1,0,1.0,0.935019721247716,0.0419879200928082,-0.786331902713793,0,0.0,-0.2783178612016014,-0.4727890789508819,0.1944712177492805,150,5.017279836814924,48,28,24,1
135,4,15,True,0.1357936426648056,1,1,0,0.948683298050514,0.935019721247716,0.0419879200928082,-0.7992260785829103,0,0.0,-0.3327118315441032,-0.3378897309303283,0.0051778993862251,13041,9.475930197953147,49,25,25,2
136,4,16,True,0.1231402404783336,2,2,0,0.3999999999999999,0.9344501200452388,0.0425561453947816,-0.8113098795669053,0,0.0,-0.3525225627888036,-0.3342422246932983,0.0182803380955052,17238,9.754929537894979,50,24,26,2
140,4,20,True,-0.9999989913057304,3,3,0,0.948683298050514,-0.8660203251420379,0.0,-0.1339786661636925,0,0.0,-0.9999946776215908,-0.2078115046024322,0.7921831730191586,8,2.1972245773362196,50,38,14,3
141,4,21,True,-0.9999989913057304,1,1,0,0.8944271909999159,-0.8660203251420379,0.0,-0.1339786661636924,0,0.0,-1.0000005203976636,-0.071058802306652,0.9289417180910116,7,2.0794415416798357,51,39,15,4
142,4,22,True,-0.9999989913057304,1,1,0,0.7745966692414834,-0.8660203251420379,0.0,-0.1339786661636924,0,0.0,-1.0000006407509217,-0.2049866914749145,0.7950139492760071,6,1.9459101490553132,52,40,16,2
143,4,23,True,-0.9999989913057304,1,1,0,0.948683298050514,-0.8660203251420379,0.0,-0.1339786661636925,0,0.0,-1.0000008833452654,-0.3037141859531402,0.6962866973921251,17,2.8903717578961645,57,45,21,1
