state,row,col,covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,total_samples,log_coverage,goal_distance,start_distance,hazard_distance,local_connectivity
153,5,3,True,-0.1102193849639234,0,0,0,0.316227766016838,0.8508326542598276,0.1011343161855003,-0.961052039223751,0,0.0,-0.8497460044380336,-0.7929185032844543,0.0568275011535792,518,6.251903883165888,60,8,24,2
154,5,4,True,-0.3672959436809476,0,0,0,0.7745966692414834,0.8508326542598276,0.1011343161855003,-1.2181285979407752,0,0.0,-0.9682281070533464,-0.7391508221626282,0.2290772848907183,53,3.9889840465642745,59,9,25,1
155,5,5,True,-0.3804213304023358,0,0,0,0.316227766016838,0.8508326542598276,0.1011343161855003,-1.2312539846621635,0,0.0,-0.9891447100097384,-0.727896511554718,0.2612481984550203,359,5.886104031450156,56,10,22,2
156,5,6,True,-0.4450749762011162,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,0.4209453489409216,0,0.0,-0.9895264103428508,-0.5279939770698547,0.4615324332729961,509,6.234410725718371,51,13,19,2
157,5,7,True,-0.4506242262138574,2,3,1,0.3999999999999999,-0.8660203251420379,0.0,0.4153960989281804,1,0.4153960989281804,-0.999400069823854,-0.5279534459114075,0.4714466239124465,510,6.236369590203704,50,14,18,2
158,5,8,True,-0.4561179837264709,2,3,1,0.3999999999999999,-0.8660203251420379,0.0,0.409902341415567,1,0.409902341415567,-0.9996888000293078,-0.4941097497940063,0.5055790502353015,518,6.251903883165888,49,15,17,2
159,5,9,True,-0.5169407784607711,3,2,1,0.1054092553389459,-0.8660203251420379,0.0,0.3490795466812667,1,0.3490795466812667,-0.9996940731798248,-0.4193222522735595,0.5803718209062652,577,6.359573868672378,48,16,16,3
160,5,10,True,-0.5132646785980919,1,1,0,0.7999999999999999,-0.8660203251420379,0.0,0.352755646543946,0,0.0,-0.99969045836536,-0.6155509352684021,0.3841395230969577,590,6.3818160174060985,47,17,15,2
161,5,11,True,-0.5289269321780795,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,0.3370933929639583,0,0.0,-0.9997220495128332,-0.4175201058387756,0.5822019436740575,7,2.0794415416798357,50,20,18,2
162,5,12,True,-0.5233755665936747,1,3,1,0.3999999999999999,-0.8660203251420379,0.0,0.3426447585483632,1,0.3426447585483632,-0.9997188722649524,-0.4110027849674225,0.5887160872975298,103,4.6443908991413725,49,21,17,2
163,5,13,True,-0.518561178835771,1,1,0,0.7999999999999999,-0.8660203251420379,0.0,0.3474591463062668,0,0.0,-0.9997156666131902,-0.5111013650894165,0.4886143015237737,1650,7.409136443920128,48,22,16,2
164,5,14,True,0.1612657597704479,1,1,0,0.948683298050514,0.935019721247716,0.0419879200928082,-0.7737539614772679,0,0.0,-0.2694964646497816,-0.3313586115837097,0.061862146933928,4963,8.509967146324497,47,27,23,3
165,5,15,True,0.1484372796910778,2,2,0,0.7999999999999999,0.935019721247716,0.0419879200928082,-0.786582441556638,0,0.0,-0.3056773126681208,-0.3584635853767395,0.0527862727086186,9059,9.111624399037025,48,26,24,2
166,5,16,True,0.1883820810828754,1,1,0,0.948683298050514,0.9379552016466162,0.0390601660281497,-0.7495731205637408,0,0.0,-0.2325803443518243,-0.3179313242435455,0.0853509798917212,96,4.574710978503383,45,31,19,2
167,5,17,True,0.2007984823935898,3,3,0,0.7745966692414834,0.9385602077137538,0.0384568987781592,-0.7377617253201639,0,0.0,-0.2258991915716872,-0.1972196698188781,0.028679521752809,54,4.007333185232471,44,32,18,3
168,5,18,True,0.2141281643705717,1,1,0,0.948683298050514,0.9385602077137538,0.0384568987781592,-0.7244320433431821,0,0.0,-0.2147357359382112,-0.2854751050472259,0.0707393691090147,182,5.209486152841421,43,33,19,2
169,5,19,True,0.285030694906508,3,3,0,1.0,0.9416781496063872,0.0353488604464321,-0.6566474546998791,0,0.0,-0.1608748996635731,-0.1047389283776283,0.0561359712859447,5316,8.57866451350434,38,36,15,2
170,5,20,True,0.2993130033425892,1,1,0,1.0,0.9429698638368402,0.03406177942812,-0.643656860494251,0,0.0,-0.1396759425768971,-0.1165637299418449,0.0231122126350522,3631,8.197538739721184,37,37,14,2
171,5,21,True,-0.9999989913057304,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,-0.1339786661636924,0,0.0,-1.0000007036772065,-0.267613798379898,0.7323869052973082,1,0.6931471805599453,52,40,16,2
172,5,22,True,-0.9999989913057304,1,0,1,-0.2108185106778919,-0.8660203251420379,0.0,-0.1339786661636924,0,0.0,-1.000000758332976,-0.147135853767395,0.852864904565581,9,2.302585092994046,53,41,17,3
173,5,23,True,-0.9999989913057304,1,0,1,-0.2108185106778919,-0.8660203251420379,0.0,-0.1339786661636924,0,0.0,-1.000001060738978,-0.2467373013496399,0.7532637593893381,27,3.332204510175204,56,44,20,2
183,6,3,True,-0.1370191537767319,0,3,1,0.2108185106778919,0.9027934695893868,0.0741695199424968,-1.039812623366119,0,0.0,-0.9740815851491638,-0.7019159197807312,0.2721656653684325,1398,7.243512974665482,59,9,23,2
184,6,4,True,-0.1644677573508838,2,2,0,0.1999999999999999,0.9098585073819144,0.0671106037618125,-1.0743262647327982,0,0.0,-0.9772330627656116,-0.8990042209625244,0.078228841803087,1496,7.311218384419629,58,10,22,2
185,6,5,True,-0.6215554536345284,1,0,1,-0.1054092553389459,0.9193545681133888,0.0576251347416019,-1.5409100217479172,0,0.0,-0.9994459766033912,-0.7233418822288513,0.2761040943745397,845,6.740519359606223,55,11,21,3
186,6,6,True,-0.6330197400373492,2,1,1,0.1999999999999999,0.9098585073819144,0.0671106037618125,-1.5428782474192635,0,0.0,-0.9997574211519528,-0.7508584856987,0.2488989354532527,14933,9.611395771595648,54,12,20,3
187,6,7,True,-0.6370869928421473,2,2,0,0.3999999999999999,-0.8660203251420379,0.0,0.2289333322998905,0,0.0,-0.9997641883148788,-0.8018632531166077,0.197900935198271,14952,9.612667227583843,53,13,19,2
188,6,8,True,-0.5403555764835692,3,3,0,0.948683298050514,-0.8660203251420379,0.0,0.3256647486584686,0,0.0,-0.9995201281080272,-0.7103106379508972,0.28920949015713,114,4.74493212836325,52,22,20,2
189,6,9,True,-0.5354805603517543,1,2,1,0.3999999999999999,-0.8660203251420379,0.0,0.3305397647902836,1,0.3305397647902836,-0.9994933262088976,-0.729401171207428,0.2700921550014695,81,4.406719247264253,51,23,19,2
190,6,10,True,-0.5077443090193484,1,1,0,0.632455532033676,-0.8660203251420379,0.0,0.3582760161226894,0,0.0,-0.9996861452352496,-0.5157756805419922,0.4839104646932572,859,6.756932389247553,46,18,14,3
191,6,11,True,-0.5131171617000958,2,2,0,0.948683298050514,-0.8660203251420379,0.0,0.352903163441942,0,0.0,-0.9996894601192648,-0.541607677936554,0.4580817821827108,380,5.942799375126701,47,19,15,1
192,6,12,True,-0.5076738062467988,1,3,1,0.7378647873726218,-0.8660203251420379,0.0,0.358346518895239,1,0.358346518895239,-0.9997033499531284,-0.5343406796455383,0.46536267030759,3931,8.276903481267057,46,22,14,2
193,6,13,True,-0.5131729819592863,2,2,0,1.0,-0.8660203251420379,0.0,0.3528473431827515,0,0.0,-0.9997121634344842,-0.4208984673023224,0.5788136961321618,3212,8.074960359115858,47,23,15,2
194,6,14,True,0.1745872881872928,3,3,0,0.1999999999999999,0.935019721247716,0.0419879200928082,-0.7604324330604231,0,0.0,-0.2408984153579794,-0.3429866433143616,0.102088227956382,3539,8.17188200612782,46,28,22,2
195,6,15,True,0.1878916437389943,3,3,0,0.7999999999999999,0.9379552016466162,0.0390601660281497,-0.7500635579076218,0,0.0,-0.2318190551365109,-0.3241021037101745,0.0922830485736636,3533,8.170185652879642,45,29,21,2
